@timestamp per second,sender_read_bytes,sender_write_bytes,sender_remote_ost_read_bytes,sender_remote_ost_write_bytes,sender_dtn_read_bytes,sender_dtn_write_bytes,sender_retrans,receiver_read_bytes,receiver_write_bytes,receiver_remote_ost_read_bytes,receiver_remote_ost_write_bytes,receiver_dtn_read_bytes,receiver_dtn_write_bytes,Differences of Last value of write_bytes_io,through_put
04:58:05 PM,293601280,0,509083648,0,294912000,0,0,0,293601280,0,306184192,0,289884928,307105792,2.1171875
04:58:06 PM,322961408,0,509607936,0,296091648,0,6,0,318767104,0,306184192,0,306184192,301993984,2.1767578125
04:58:07 PM,289406976,0,506462208,0,318898176,0,0,0,297794816,0,297794816,0,306184192,284368896,2.162109375
04:58:08 PM,297795584,0,511705088,0,293076992,0,0,0,297795584,0,293601280,0,301989888,293269504,2.1484375
04:58:09 PM,293601280,0,507510784,0,300941312,0,0,0,285212672,0,285212672,0,301989888,298975232,2.2490234375
04:58:10 PM,301989888,0,505937920,0,291241984,0,0,0,297795584,0,301989888,0,287178752,290848768,2.1484375
04:58:11 PM,301989888,0,512229376,0,301989888,0,0,0,306184192,0,297795584,0,301203456,285216768,2.138671875
04:58:12 PM,293601280,0,504889344,0,297795584,0,0,0,301989888,0,293601280,0,295567360,296353792,2.17578125
04:58:13 PM,293601280,0,510656512,0,301989888,0,0,0,289406976,0,285212672,0,298844160,282198016,2.2001953125
04:58:14 PM,285212672,0,0,0,285212672,0,0,0,297795584,0,297795584,0,301989888,292016128,2.1650390625
04:58:15 PM,306184192,0,513277952,0,293601280,0,0,0,293601280,0,297795584,0,299296736,298577920,2.2412109375
04:58:16 PM,301989888,0,505413632,0,301989888,0,0,0,301989888,0,301989888,0,292362272,310001664,2.2119140625
04:58:17 PM,314572800,0,504365056,0,301989888,0,0,0,306184192,0,289406976,0,300154880,284164096,2.05859375
04:58:18 PM,293601280,0,508559360,0,310378496,0,0,0,301989888,0,297795584,0,308464544,286261248,2.1728515625
04:58:19 PM,281018368,0,504365056,0,296878080,0,0,0,285212672,0,281018368,0,288699488,295436288,2.220703125
04:58:20 PM,297795584,0,504889344,0,281804800,0,0,0,297795584,0,293601280,0,299630592,285868032,2.158203125
04:58:21 PM,301989888,0,504889344,0,295305216,0,0,0,297795584,0,297795584,0,300564032,292683776,2.1865234375
04:58:22 PM,306184192,0,501219328,0,304611328,0,0,0,297795584,0,301989888,0,295551424,299634688,2.21484375
04:58:23 PM,301989888,0,508559360,0,306184192,0,0,0,310378496,0,297795584,0,291608384,290197504,2.1708984375
04:58:24 PM,285212672,0,503316480,0,300023808,0,0,0,293601280,0,285212672,0,301623488,301989888,2.1953125
04:58:25 PM,301989888,0,503840768,0,291373056,0,0,0,297794816,0,306183424,0,305004544,288100352,2.15625
04:58:26 PM,301989888,0,505413632,0,297795584,0,0,0,289406976,0,276824064,0,297795584,282333184,2.1552734375
04:58:27 PM,301989888,0,504365056,0,301989888,0,0,0,302002176,0,293613568,0,288096256,297795584,2.2060546875
04:58:28 PM,301989888,0,509083648,0,301989888,0,0,0,306184192,0,301989888,0,298582016,306184192,2.259765625
04:58:29 PM,297795584,0,505413632,0,299106304,0,0,0,306183424,0,306183424,0,303221664,284692480,2.185546875
04:58:30 PM,297795584,0,505413632,0,296484864,0,0,0,297795584,0,297795584,0,302462048,285736960,2.0927734375
04:58:31 PM,285212672,0,511705088,0,300417024,0,0,0,289406208,0,285211904,0,301989888,306192384,2.2216796875
04:58:32 PM,310378496,0,504365056,0,286785536,0,0,0,0,0,297794816,0,298844160,285745152,2.134765625
04:58:33 PM,301989888,0,508035072,0,310378496,0,0,0,297794816,0,297795584,0,296878080,291766272,2.201171875
04:58:34 PM,0,0,509083648,0,301989888,0,0,0,297795584,0,276824064,0,295960576,295567360,2.25
04:58:35 PM,293601280,0,507510784,0,291241984,0,0,0,306184192,0,306184192,0,299499520,293605376,2.1806640625
04:58:36 PM,301989888,0,504889344,0,302383104,0,0,0,301989120,0,306182688,0,301989888,289857536,2.1689453125
04:58:37 PM,293601280,0,509607936,0,297271296,0,0,0,293600512,0,293600512,0,300416256,305090560,2.2099609375
04:58:38 PM,301989888,0,505413632,0,304480256,0,0,0,306182688,0,306183424,0,308413184,303439872,2.25
04:58:39 PM,306184192,0,509083648,0,304218112,0,0,0,306183424,0,285211168,0,307494912,293212160,2.1572265625
04:58:40 PM,297795584,0,509607936,0,298319872,0,0,0,297794816,0,297795584,0,294780928,288358400,2.0986328125
04:58:41 PM,301989888,0,508035072,0,299237376,0,0,0,293601280,0,301989888,0,296567392,293601280,2.2421875
04:58:42 PM,301989888,0,507510784,0,305266688,0,0,0,297794816,0,289406208,0,287620512,290328576,2.25
04:58:43 PM,301989888,0,509083648,0,298713088,0,0,0,301989888,0,297794816,0,301858816,293867520,2.15625
04:58:44 PM,301989888,0,509083648,0,295829504,0,0,0,301989120,0,289406976,0,301596672,291110912,2.1337890625
04:58:45 PM,293601280,0,508559360,0,298319872,0,0,0,306184192,0,297795584,0,302383104,299106304,2.2373046875
04:58:46 PM,297795584,0,509083648,0,299237376,0,0,0,297795584,0,301989888,0,301989888,297291776,2.2216796875
04:58:47 PM,293601280,0,509083648,0,289406976,0,0,0,293600512,0,297794816,0,306184192,287035392,2.2119140625
04:58:48 PM,297795584,0,509607936,0,301989888,0,0,0,297794816,0,297794816,0,296747008,295174144,2.0546875
04:58:49 PM,301989888,0,504889344,0,301989888,0,10,0,306184192,0,285212672,0,307232768,294916096,2.1953125
04:58:50 PM,301989888,0,507510784,0,301989888,0,0,0,289406208,0,289406208,0,283901952,277217280,2.0908203125
04:58:51 PM,289406976,0,491782144,0,285343744,0,0,0,293601280,0,285212672,0,282329088,289013760,2.1943359375
04:58:52 PM,293601280,0,511705088,0,296484864,0,0,0,297795584,0,297795584,0,301989888,301998080,2.18359375
04:58:53 PM,301989888,0,505413632,0,303300608,0,0,0,301989888,0,289406976,0,301989888,282066944,2.177734375
04:58:54 PM,285212672,0,509083648,0,285081600,0,0,0,281018368,0,301989888,0,292945920,288886784,2.09765625
04:58:55 PM,301989888,0,509607936,0,301989888,0,0,0,301988384,0,285211168,0,298582016,294084608,2.275390625
04:58:56 PM,301989888,0,512229376,0,306184192,0,0,0,297794816,0,293600512,0,293863424,299421696,2.232421875
04:58:57 PM,306184192,0,504889344,0,298713088,0,22,0,300617728,0,296423424,0,303955968,294518784,2.177734375
04:58:58 PM,301989888,0,509607936,0,301989888,0,0,0,301989888,0,301989888,0,301465600,297926656,2.1279296875
04:58:59 PM,301989888,0,509083648,0,298450944,0,0,0,301989888,0,306184192,0,300739968,294125568,2.16015625
04:59:00 PM,293601280,0,508559360,0,304611328,0,0,0,306184192,0,285212672,0,297603712,290979840,2.12109375
04:59:01 PM,289406976,0,506986496,0,281018368,0,0,0,276823296,0,289406208,0,290455552,283648000,2.22106993198395
04:59:02 PM,301989888,0,502267904,0,301596672,0,0,0,295309312,0,282726400,0,290848768,284688384,2.02404725551605
04:59:03 PM,272629760,0,506986496,0,277217280,0,0,0,293601280,0,289406208,0,299106304,285741056,2.203125
04:59:04 PM,297795584,0,505937920,0,297795584,0,0,0,285211904,0,297795584,0,287309824,299237376,2.0400390625
04:59:05 PM,301989888,0,504889344,0,300154880,0,0,0,293601280,0,276824064,0,290848768,267386880,2.2080078125
04:59:06 PM,276824064,0,504365056,0,274464768,0,0,0,297795584,0,293601280,0,294256640,296513536,2.25
04:59:07 PM,297795584,0,504889344,0,301989888,0,0,0,297795584,0,297795584,0,301989888,293703680,2.1220703125
04:59:08 PM,301989888,0,508035072,0,297795584,0,0,0,293600512,0,289406208,0,297402368,290197504,2.1884765625
04:59:09 PM,306184192,0,505413632,0,310378496,0,0,0,306184192,0,297795584,0,306708480,306184192,2.1923828125
04:59:10 PM,306184192,0,503316480,0,306184192,0,0,0,297795584,0,297795584,0,293208064,279838720,2.12109375
04:59:11 PM,293601280,0,509083648,0,293601280,0,0,0,301989120,0,293600512,0,292945920,291119104,2.212890625
04:59:12 PM,285212672,0,505413632,0,285212672,0,0,0,293601280,0,281018368,0,302907392,294780928,2.12109375
04:59:13 PM,297795584,0,506462208,0,285212672,0,0,0,285212672,0,301989888,0,287178752,282853376,2.193359375
04:59:14 PM,306184192,0,505413632,0,297795584,0,0,0,301989888,0,297795584,0,301465600,298450944,2.21484375
04:59:15 PM,301989888,0,509607936,0,306184192,0,0,0,301989888,0,297795584,0,305922048,301989888,2.2255859375
