"@timestamp per second","receiver_read_bytes","receiver_write_bytes","receiver_remote_ost_read_bytes","receiver_remote_ost_write_bytes","receiver_dtn_read_bytes","receiver_dtn_write_bytes","Differences of Last value of write_bytes_io"
"16:58:03",,,,,,,
"16:58:04",0,"301,989,888",0,"281,018,368",0,"297,448,704",
"16:58:05",0,"293,601,280",0,"306,184,192",0,"289,884,928","307,105,792"
"16:58:06",0,"318,767,104",0,"306,184,192",0,"306,184,192","301,993,984"
"16:58:07",0,"297,794,816",0,"297,794,816",0,"306,184,192","284,368,896"
"16:58:08",0,"297,795,584",0,"293,601,280",0,"301,989,888","293,269,504"
"16:58:09",0,"285,212,672",0,"285,212,672",0,"301,989,888","298,975,232"
"16:58:10",0,"297,795,584",0,"301,989,888",0,"287,178,752","290,848,768"
"16:58:11",0,"306,184,192",0,"297,795,584",0,"301,203,456","285,216,768"
"16:58:12",0,"301,989,888",0,"293,601,280",0,"295,567,360","296,353,792"
"16:58:13",0,"289,406,976",0,"285,212,672",0,"298,844,160","282,198,016"
"16:58:14",0,"297,795,584",0,"297,795,584",0,"301,989,888","292,016,128"
"16:58:15",0,"293,601,280",0,"297,795,584",0,"299,296,736","298,577,920"
"16:58:16",0,"301,989,888",0,"301,989,888",0,"292,362,272","310,001,664"
"16:58:17",0,"306,184,192",0,"289,406,976",0,"300,154,880","284,164,096"
"16:58:18",0,"301,989,888",0,"297,795,584",0,"308,464,544","286,261,248"
"16:58:19",0,"285,212,672",0,"281,018,368",0,"288,699,488","295,436,288"
"16:58:20",0,"297,795,584",0,"293,601,280",0,"299,630,592","285,868,032"
"16:58:21",0,"297,795,584",0,"297,795,584",0,"300,564,032","292,683,776"
"16:58:22",0,"297,795,584",0,"301,989,888",0,"295,551,424","299,634,688"
"16:58:23",0,"310,378,496",0,"297,795,584",0,"291,608,384","290,197,504"
"16:58:24",0,"293,601,280",0,"285,212,672",0,"301,623,488","301,989,888"
"16:58:25",0,"297,794,816",0,"306,183,424",0,"305,004,544","288,100,352"
"16:58:26",0,"289,406,976",0,"276,824,064",0,"297,795,584","282,333,184"
"16:58:27",0,"302,002,176",0,"293,613,568",0,"288,096,256","297,795,584"
"16:58:28",0,"306,184,192",0,"301,989,888",0,"298,582,016","306,184,192"
"16:58:29",0,"306,183,424",0,"306,183,424",0,"303,221,664","284,692,480"
"16:58:30",0,"297,795,584",0,"297,795,584",0,"302,462,048","285,736,960"
"16:58:31",0,"289,406,208",0,"285,211,904",0,"301,989,888","306,192,384"
"16:58:32",0,0,0,"297,794,816",0,"298,844,160","285,745,152"
"16:58:33",0,"297,794,816",0,"297,795,584",0,"296,878,080","291,766,272"
"16:58:34",0,"297,795,584",0,"276,824,064",0,"295,960,576","295,567,360"
"16:58:35",0,"306,184,192",0,"306,184,192",0,"299,499,520","293,605,376"
"16:58:36",0,"301,989,120",0,"306,182,688",0,"301,989,888","289,857,536"
"16:58:37",0,"293,600,512",0,"293,600,512",0,"300,416,256","305,090,560"
"16:58:38",0,"306,182,688",0,"306,183,424",0,"308,413,184","303,439,872"
"16:58:39",0,"306,183,424",0,"285,211,168",0,"307,494,912","293,212,160"
"16:58:40",0,"297,794,816",0,"297,795,584",0,"294,780,928","288,358,400"
"16:58:41",0,"293,601,280",0,"301,989,888",0,"296,567,392","293,601,280"
"16:58:42",0,"297,794,816",0,"289,406,208",0,"287,620,512","290,328,576"
"16:58:43",0,"301,989,888",0,"297,794,816",0,"301,858,816","293,867,520"
"16:58:44",0,"301,989,120",0,"289,406,976",0,"301,596,672","291,110,912"
"16:58:45",0,"306,184,192",0,"297,795,584",0,"302,383,104","299,106,304"
"16:58:46",0,"297,795,584",0,"301,989,888",0,"301,989,888","297,291,776"
"16:58:47",0,"293,600,512",0,"297,794,816",0,"306,184,192","287,035,392"
"16:58:48",0,"297,794,816",0,"297,794,816",0,"296,747,008","295,174,144"
"16:58:49",0,"306,184,192",0,"285,212,672",0,"307,232,768","294,916,096"
"16:58:50",0,"289,406,208",0,"289,406,208",0,"283,901,952","277,217,280"
"16:58:51",0,"293,601,280",0,"285,212,672",0,"282,329,088","289,013,760"
"16:58:52",0,"297,795,584",0,"297,795,584",0,"301,989,888","301,998,080"
"16:58:53",0,"301,989,888",0,"289,406,976",0,"301,989,888","282,066,944"
"16:58:54",0,"281,018,368",0,"301,989,888",0,"292,945,920","288,886,784"
"16:58:55",0,"301,988,384",0,"285,211,168",0,"298,582,016","294,084,608"
"16:58:56",0,"297,794,816",0,"293,600,512",0,"293,863,424","299,421,696"
"16:58:57",0,"300,617,728",0,"296,423,424",0,"303,955,968","294,518,784"
