@timestamp per second,sender_read_bytes,sender_write_bytes,sender_remote_ost_read_bytes,sender_remote_ost_write_bytes,sender_dtn_read_bytes,sender_dtn_write_bytes,sender_retrans,sender_avg_send_value,sender_lustre_nic_IO,receiver_read_bytes,receiver_write_bytes,receiver_remote_ost_read_bytes,receiver_remote_ost_write_bytes,receiver_dtn_read_bytes,receiver_dtn_write_bytes,Differences of Last value of write_bytes_io,through_put
11:06:42 AM,192937984,0,201326592,0,197656576,0,0,2870.5,1250668226,0,197132288,0,197132288,0,199566256,197214208,1.44846659898758
11:06:43 AM,197132288,0,184549376,0,199753728,0,0,2657,1251048102,0,201322208,0,197127904,0,197527440,193826816,1.461973965168
11:06:44 AM,205520896,0,201326592,0,203161600,0,0,2765.5,1251365798,0,204962208,0,204962208,0,203431840,199888896,1.48819637298584
11:06:45 AM,197132288,0,205520896,0,199753728,0,0,4499,1249759882,0,201326592,0,197132288,0,199682096,195739648,1.5134299993515
11:06:46 AM,251658240,0,264241152,0,255983616,0,0,3974,1252163178,0,222293120,0,230681728,0,228366800,256655360,2.07151144742966
11:06:47 AM,297795584,0,301989888,0,298582016,0,0,3838.8,1253127100,0,301989888,0,293601280,0,299732608,295174144,2.1922670006752
11:06:48 AM,301989888,0,297795584,0,299368448,0,0,2852.6,1252554918,0,297795584,0,297795584,0,299711872,294633472,2.19282609224319
11:06:49 AM,,,,,,,,,,0,293597664,0,289403360,0,290529600,285097984,2.12415766716003
11:06:50 AM,289406976,0,285212672,0,289669120,0,0,4334.6,1251771008,0,297795584,0,293601280,0,299925696,294821888,2.19228667020798
11:06:51 AM,297795584,0,293601280,0,299237376,0,0,4614.9,1252043172,0,301989888,0,297795584,0,299777984,294391808,2.19217878580093
11:06:52 AM,301989888,0,297795584,0,300023808,0,0,4367.7,1251814824,0,297795584,0,297795584,0,299518784,294817792,2.19225430488586
11:06:53 AM,301989888,0,301989888,0,297402368,0,0,4184.8,1253427990,0,301989888,0,297795584,0,299518784,294236160,2.19289082288742
11:06:54 AM,297795584,0,289406976,0,300417024,0,0,2802.8,1253634996,0,272629760,0,276824064,0,299892384,250454016,1.65527790784836
11:06:55 AM,255852544,0,234881024,0,247595008,0,0,2940.6,1250765080,0,201326592,0,197132288,0,273287840,195186688,1.4824121594429
11:06:56 AM,201326592,0,201326592,0,201850880,0,0,2942.8,1251594258,0,201325184,0,201325184,0,199867440,200179712,1.46176898479462
11:06:57 AM,201326592,0,197132288,0,200409088,0,0,2804.8,1250801776,0,201326592,0,197132288,0,202506352,195825664,1.46204948425293
11:06:58 AM,192937984,0,201326592,0,199360512,0,0,2887.7,1250607746,0,197132288,0,197132288,0,199768976,196964352,1.46226525306702
11:06:59 AM,197132288,0,201326592,0,200015872,0,0,2936.3,1250833946,0,205520896,0,201326592,0,199657472,198565888,1.47879266738892
11:07:00 AM,205520896,0,201326592,0,201850880,0,0,2861,1251745696,0,197132288,0,197132288,0,202314496,196431872,1.46620386838913
11:07:01 AM,197132288,0,188743680,0,201850880,0,0,2840.9,1251745696,0,201314080,0,201318144,0,199544544,193998848,1.4605353474617
11:07:02 AM,197132288,0,201326592,0,200409088,0,0,1447,1250186560,0,134214216,0,142598752,0,197981280,128815104,0.730280339717865
11:07:03 AM,117440512,0,96468992,0,194248704,0,0,1534.3,1249505546,0,100663296,0,100663296,0,135921344,97824768,0.732103586196899
11:07:04 AM,100663296,0,100663296,0,113770496,0,0,1529.8,1249930912,0,100663296,0,96468992,0,99823672,98435072,0.781191825866699
11:07:05 AM,100663296,0,117440512,0,99352576,0,0,1598.7,1249961288,0,0,0,104853216,0,99826568,103550976,0.722393989562988
11:07:06 AM,100663296,0,88080384,0,107216896,0,0,1565.6,1251435392,0,104853216,0,100663296,0,105631712,98529280,0.730970799922943
11:07:07 AM,100663296,0,96468992,0,97517568,0,0,1556.1,1251455472,0,100663296,0,100659800,0,99564480,103198720,0.769691348075867
11:07:08 AM,104857600,0,117440512,0,100532224,0,0,1498.9,1249983868,0,104850040,0,100655168,0,104852688,104763392,1.19021666049957
11:07:09 AM,163577856,0,150994944,0,104333312,0,0,4636.1,1249942302,0,113234568,0,239067744,0,117612824,230162432,1.30297636985779
11:07:10 AM,180355072,0,184549376,0,165806080,0,0,1567.5,1255145898,0,226492416,0,96468992,0,220733440,98144256,0.742589950561523
11:07:11 AM,104857600,0,100663296,0,172883968,0,4,1571.1,1252803956,0,96468992,0,113240032,0,99820776,111345664,0.817216038703918
11:07:12 AM,100663296,0,100663296,0,109445120,0,0,1564.8,1251153770,0,113240032,0,96468992,0,113008040,98103296,0.730161666870117
11:07:13 AM,100663296,0,100663296,0,104202240,0,0,1544.5,1250895354,0,100663296,0,100663296,0,99564480,98000896,0.781170248985291
11:07:14 AM,109051904,0,100663296,0,99483648,0,3,1627.9,1252321394,0,100663296,0,116684896,0,99891728,115474432,0.807816326618195
11:07:15 AM,109051904,0,117440512,0,110362624,0,0,1628.5,1254224380,0,116684896,0,96468992,0,116965136,98103296,0.730981588363647
11:07:16 AM,100663296,0,100663296,0,106299392,0,0,1607.2,1253474040,0,100663296,0,100663296,0,99587648,98287616,0.722879469394684
11:07:17 AM,100663296,0,100663296,0,100532224,0,0,1524.5,1249468482,0,96468992,0,96467224,0,100027840,97157120,0.731326818466187
11:07:18 AM,100663296,0,92274688,0,98566144,0,0,1550.9,1250939676,0,100661528,0,100663296,0,98621832,98004992,0.732279479503632
11:07:19 AM,100663296,0,92274688,0,99876864,0,0,1566.4,1251360870,0,100662304,0,96464664,0,101148592,98553856,0.730161666870117
11:07:20 AM,100663296,0,100663296,0,99352576,0,0,1587.2,1251108172,0,96465656,0,100663296,0,98525256,98078720,0.731747567653656
11:07:21 AM,100663296,0,100663296,0,100925440,0,0,1556.8,1251182246,0,100663296,0,96468992,0,99825120,98185216,0.780976057052612
11:07:22 AM,100663296,0,109051904,0,99483648,0,0,1590.9,1251573182,0,109051584,0,104853216,0,106672824,103809024,0.722393989562988
11:07:23 AM,100663296,0,92274688,0,106168320,0,0,1561,1252280488,0,96464928,0,100663296,0,98784008,98004992,0.730647146701813
11:07:24 AM,100663296,0,100663296,0,98566144,0,0,1589.7,1251485858,0,100663296,0,104857280,0,99825120,104951808,0.779810905456543
11:07:25 AM,0,0,104857600,0,100663296,0,0,1595.7,1251368834,0,104857280,0,100655168,0,106150096,98336768,0.732550501823425
11:07:26 AM,100663296,0,96468992,0,107347968,0,0,1577.3,1251948128,0,100655168,0,96468992,0,0,98258944,0.760701060295105
11:07:27 AM,100663296,0,113246208,0,97779712,0,0,1593,1251130556,0,104855408,0,176154512,0,100241312,183496704,1.73031485080719
11:07:28 AM,109051904,0,255852544,0,111149056,0,0,4781.1,1253390222,0,247459872,0,297795584,0,103790832,294711296,2.19270741939545
11:07:29 AM,293601280,0,301989888,0,299368448,0,0,4599.3,1254858136,0,301989888,0,281018368,0,254047264,272637952,1.63619649410248
11:07:30 AM,301989888,0,184549376,0,298975232,0,0,1591.4,1254261022,0,201326592,0,96468992,0,299804064,98258944,0.730711877346039
11:07:31 AM,150994944,0,100663296,0,145620992,0,0,1562.3,1251491692,0,100663296,0,100663296,0,197773632,98000896,0.730161666870117
11:07:32 AM,100663296,0,100663296,0,100532224,0,0,1568.4,1251522330,0,100663296,0,96468992,0,99891728,98263040,0.731898605823517
11:07:33 AM,100663296,0,100663296,0,99483648,0,0,1603.7,1250795450,0,100663296,0,100663296,0,99777336,98000896,0.730161666870117
11:07:34 AM,100663296,0,100663296,0,99614720,0,0,1584.4,1251601506,0,96468992,0,96468992,0,99997432,98258944,0.761616826057434
11:07:35 AM,100663296,0,100663296,0,100794368,0,0,1591.5,1252094638,0,104854128,0,104848000,0,99564480,102592512,0.732798635959625
11:07:36 AM,100663296,0,100663296,0,101974016,0,0,1577.9,1252078510,0,100657168,0,96468992,0,103525680,98258944,0.730161666870117
11:07:37 AM,100663296,0,100663296,0,101318656,0,0,1596.3,1252338552,0,100663296,0,0,0,99918408,97738752,0.778288900852203
11:07:38 AM,100663296,0,100663296,0,100007936,0,0,1615.2,1254195814,0,104854312,0,100663296,0,99560136,117809152,0.827290296554565
11:07:39 AM,109051904,0,117440512,0,115343360,0,0,1569.7,1253594306,0,113242144,0,117433160,0,106420944,98078720,0.730161666870117
11:07:40 AM,109051904,0,92274688,0,104071168,0,0,1607,1255998872,0,100663296,0,100663296,0,112199584,98213888,0.731132626533508
11:07:41 AM,100663296,0,92274688,0,100401152,0,0,1581,1255128404,0,96468992,0,96468992,0,99823672,167456768,1.62869369983673
11:07:42 AM,134217728,0,272629760,0,142082048,0,0,4528.7,1255815650,0,281015040,0,176157440,0,99668736,293588992,2.19220036268234
11:07:43 AM,301989888,0,297795584,0,298975232,0,0,4332.6,1255909572,0,301989888,0,297795584,0,285097536,295395328,2.1928368806839
11:07:44 AM,301989888,0,301989888,0,298450944,0,0,4789.9,1253521270,0,294957056,0,297795584,0,299482592,294514688,1.98354113101959
11:07:45 AM,301989888,0,268435456,0,300941312,0,0,4680.3,1254370504,0,272626624,0,282374144,0,299450752,266473472,2.19247007369995
11:07:46 AM,268435456,0,293601280,0,271187968,0,0,4850,1254857474,0,297795584,0,276820928,0,271786688,294477824,2.19227588176727
11:07:47 AM,301989888,0,293601280,0,299368448,0,0,4391.5,1253803888,0,297795584,0,297795584,0,299181408,293658624,2.19212484359741
11:07:48 AM,297795584,0,301989888,0,299761664,0,0,4499,1254342186,0,301989888,0,293601280,0,299304512,295387136,2.19272899627686
11:07:49 AM,297795584,0,0,0,299499520,0,0,1584.7,1254096380,0,245924128,0,297795584,0,299750464,176771072,0.938464879989624
11:07:50 AM,192937984,0,260046848,0,182190080,0,0,1633.5,1252597502,0,100663296,0,162038048,0,238666592,101879808,0.7601478099823
11:07:51 AM,100663296,0,96468992,0,103415808,0,0,4837.1,1251771640,0,159375648,0,104855816,0,99825120,211030016,1.94455063343048
11:07:52 AM,209715200,0,134217728,0,217055232,0,0,4826.7,1253788934,0,301989888,0,230680592,0,166107856,294645760,2.19228667020798
11:07:53 AM,297795584,0,297795584,0,299761664,0,0,4842.4,1254279828,0,297795584,0,297795584,0,299334912,294412288,2.1925995349884
11:07:54 AM,297795584,0,297795584,0,298713088,0,0,4999.8,1253939236,0,297795584,0,297795584,0,299669376,294490112,1.94956833124161
11:07:55 AM,301989888,0,293601280,0,300285952,0,0,1608.3,1254367020,0,163577856,0,289406976,0,299691104,115675136,0.730161666870117
11:07:56 AM,117440512,0,197132288,0,102236160,0,0,1617.6,1252792600,0,100663296,0,96468992,0,157245568,97996800,1.02831786870956
11:07:57 AM,100663296,0,100663296,0,111673344,0,0,4704.1,1251567584,0,247456096,0,117433224,0,99700592,280502272,2.15968751907349
11:07:58 AM,289406976,0,201326592,0,294387712,0,0,5048.4,1254003438,0,297795584,0,293600736,0,251462528,294567936,2.19282609224319
11:07:59 AM,297795584,0,301989888,0,299499520,0,0,4542.1,1253166230,0,301989888,0,293601280,0,299552096,294510592,2.18653643131256
11:08:00 AM,301989888,0,293601280,0,298450944,0,0,4339.8,1254205114,0,297795584,0,297795584,0,299798272,293605376,2.1903275847435
11:08:01 AM,301989888,0,293601280,0,298844160,0,0,4728.9,1252689302,0,297795584,0,293601280,0,299081504,294301696,2.19217878580093
11:08:02 AM,297795584,0,301989888,0,298844160,0,0,4857,1253625850,0,301989888,0,297795584,0,299244288,294240256,2.19218957424164
11:08:03 AM,297795584,0,289406976,0,299892736,0,0,4937.2,1252469980,0,297795584,0,297795584,0,299773632,294920192,2.19263190031052
11:08:04 AM,297795584,0,297795584,0,299630592,0,0,4684.4,1253052162,0,301989888,0,293601280,0,299568032,293584896,2.18187582492828
11:08:05 AM,297795584,0,301989888,0,298713088,0,0,4521.7,1253924322,0,297795584,0,297795584,0,299479712,293605376,2.19224351644516
11:08:06 AM,301989888,0,293601280,0,300023808,0,0,4906.8,1253826810,0,297795584,0,293601280,0,298371968,294719488,2.19229745864868
11:08:07 AM,301989888,0,293601280,0,298057728,0,0,5033.1,1254381990,0,0,0,297795584,0,299552096,294313984,2.19231903553009
11:08:08 AM,301989888,0,301989888,0,299892736,0,0,4971.9,1256572396,0,301989888,0,297795584,0,299437696,294477824,2.19270741939545
11:08:09 AM,293601280,0,293601280,0,300154880,0,0,4716.3,1256129636,0,297795584,0,293601280,0,299198784,294969344,2.18208080530167
11:08:10 AM,297795584,0,293601280,0,297140224,0,0,4577,1255804436,0,297795584,0,297795584,0,299504320,292913152,2.19224351644516
11:08:11 AM,297795584,0,297795584,0,299368448,0,0,4771.3,1255398742,0,297795584,0,293601280,0,298286560,294494208,2.19224351644516
11:08:12 AM,301989888,0,293601280,0,299761664,0,0,4890.7,1254790488,0,301989888,0,297795584,0,299669376,294309888,2.19226509332657
11:08:13 AM,301989888,0,297795584,0,298844160,0,0,4677,1253430828,0,297795584,0,297795584,0,299444960,294535168,2.19279372692108
11:08:14 AM,297795584,0,301989888,0,300941312,0,0,4756.2,1253026984,0,301989888,0,293601280,0,299695456,294735872,2.18269574642181
11:08:15 AM,297795584,0,289406976,0,297664512,0,0,4979.2,1252934114,0,297795584,0,297795584,0,299627392,293224448,2.19217878580093
11:08:16 AM,293601280,0,297795584,0,299237376,0,0,4798.9,1253073516,0,297795584,0,293601280,0,298206912,294412288,2.19214642047882
11:08:17 AM,301989888,0,297795584,0,0,0,0,4962.7,1256187618,0,301989888,0,297795584,0,299452192,294440960,2.19224351644516
11:08:18 AM,301989888,0,293601280,0,299892736,0,0,4990.2,1257487468,0,297795584,0,297795584,0,299657792,294604800,2.19297713041306
11:08:19 AM,301989888,0,297795584,0,300285952,0,0,4753.4,1254073756,0,301989888,0,293601280,0,299705600,291106816,2.1541063785553
11:08:20 AM,293601280,0,293601280,0,295829504,0,0,4942.8,1253209784,0,292043008,0,292043008,0,294297312,292573184,2.19221115112305
