"@timestamp per second","receiver_read_bytes","receiver_write_bytes","receiver_remote_ost_read_bytes","receiver_remote_ost_write_bytes","receiver_dtn_read_bytes","receiver_dtn_write_bytes","Differences of Last value of write_bytes_io"
"11:06:05",0,"155,181,120",0,"100,663,296",0,"38,318,008",
"11:06:06",0,0,0,"146,792,512",0,"153,875,008","147,902,464"
"11:06:07",0,"146,800,640",0,"146,800,640",0,"149,474,144","146,251,776"
"11:06:08",0,"150,994,944",0,"146,800,640",0,"148,921,008","145,715,200"
"11:06:09",0,"146,798,128",0,"150,988,368",0,"148,624,672","148,942,848"
"11:06:10",0,"150,986,816",0,"146,792,512",0,"150,959,504","146,518,016"
"11:06:11",0,"150,990,880",0,"146,800,640",0,"149,012,848","148,021,248"
"11:06:12",0,"146,794,528",0,"146,790,464",0,"149,051,440","144,015,360"
"11:06:13",0,"146,788,448",0,"146,788,448",0,"146,713,216","142,733,312"
"11:06:14",0,"146,792,512",0,"146,796,576",0,"146,833,600","147,591,168"
"11:06:15",0,"150,994,944",0,"150,994,944",0,"149,854,976","180,686,848"
"11:06:16",0,"188,742,048",0,"201,324,960",0,"190,747,904","195,747,840"
"11:06:17",0,"201,326,592",0,"197,132,288",0,"199,835,584","196,784,128"
"11:06:18",0,"197,132,288",0,"197,132,288",0,"199,666,176","196,263,936"
"11:06:19",0,"201,326,592",0,"201,323,840",0,"199,569,152","196,911,104"
"11:06:20",0,"201,319,152",0,"188,733,840",0,"199,315,392","189,546,496"
"11:06:21",0,"192,928,768",0,"197,128,224",0,"193,380,112","196,599,808"
"11:06:22",0,"197,131,968",0,"197,127,904",0,"200,765,312","190,251,008"
"11:06:23",0,"192,925,792",0,"192,929,856",0,"193,217,184","196,067,328"
"11:06:24",0,"201,326,592",0,"197,131,968",0,"199,912,320","195,452,928"
"11:06:25",0,"197,127,904",0,"197,128,224",0,"198,221,024","191,782,912"
"11:06:26",0,"209,706,240",0,"226,483,456",0,"210,266,336","276,942,848"
"11:06:27",0,"297,795,584",0,"297,795,584",0,"299,401,760","294,490,112"
"11:06:28",0,"301,989,888",0,"293,601,280",0,"299,762,048","293,957,632"
"11:06:29",0,"297,795,584",0,"289,406,976",0,"299,833,024","243,400,704"
"11:06:30",0,"213,909,504",0,"201,326,592",0,"208,584,400","196,399,104"
"11:06:31",0,"197,132,288",0,"197,132,288",0,"199,650,240","196,739,072"
"11:06:32",0,"213,900,240",0,"226,483,152",0,"214,453,232","265,527,296"
"11:06:33",0,"297,795,584",0,"293,601,280",0,"299,509,696","294,318,080"
"11:06:34",0,"287,718,816",0,"275,135,904",0,"285,720,384","231,464,960"
"11:06:35",0,"197,124,160",0,"192,929,856",0,"199,390,464","193,912,832"
"11:06:36",0,"234,877,552",0,"243,266,160",0,"234,457,984","279,339,008"
"11:06:37",0,"297,795,584",0,"297,795,584",0,"299,305,600","294,334,464"
"11:06:38",0,"301,989,888",0,"297,795,584",0,"299,568,032","294,244,352"
"11:06:39",0,"291,786,752",0,"283,398,144",0,"295,044,480","246,620,160"
"11:06:40",0,"201,326,592",0,"197,132,288",0,"199,647,344","196,857,856"
"11:06:41",0,"197,123,968",0,"192,929,664",0,"196,183,488","192,548,864"
"11:06:42",0,"197,132,288",0,"197,132,288",0,"199,566,256","197,214,208"
"11:06:43",0,"201,322,208",0,"197,127,904",0,"197,527,440","193,826,816"
"11:06:44",0,"204,962,208",0,"204,962,208",0,"203,431,840","199,888,896"
"11:06:45",0,"201,326,592",0,"197,132,288",0,"199,682,096","195,739,648"
"11:06:46",0,"222,293,120",0,"230,681,728",0,"228,366,800","256,655,360"
"11:06:47",0,"301,989,888",0,"293,601,280",0,"299,732,608","295,174,144"
"11:06:48",0,"297,795,584",0,"297,795,584",0,"299,711,872","294,633,472"
"11:06:49",0,"293,597,664",0,"289,403,360",0,"290,529,600","285,097,984"
"11:06:50",0,"297,795,584",0,"293,601,280",0,"299,925,696","294,821,888"
"11:06:51",0,"301,989,888",0,"297,795,584",0,"299,777,984","294,391,808"
"11:06:52",0,"297,795,584",0,"297,795,584",0,"299,518,784","294,817,792"
"11:06:53",0,"301,989,888",0,"297,795,584",0,"299,518,784","294,236,160"
"11:06:54",0,"272,629,760",0,"276,824,064",0,"299,892,384","250,454,016"
"11:06:55",0,"201,326,592",0,"197,132,288",0,"273,287,840","195,186,688"
"11:06:56",0,"201,325,184",0,"201,325,184",0,"199,867,440","200,179,712"
"11:06:57",0,"201,326,592",0,"197,132,288",0,"202,506,352","195,825,664"
"11:06:58",0,"197,132,288",0,"197,132,288",0,"199,768,976","196,964,352"
"11:06:59",0,"205,520,896",0,"201,326,592",0,"199,657,472","198,565,888"
"11:07:00",0,"197,132,288",0,"197,132,288",0,"202,314,496","196,431,872"
"11:07:01",0,"201,314,080",0,"201,318,144",0,"199,544,544","193,998,848"
