time_stamp,sender_read_bytes,sender_remote_ost_read_bytes,sender_write_bytes,sender_remote_ost_write_bytes,sender_retrans,receiver_read_bytes,receiver_remote_ost_read_bytes,receiver_write_bytes,receiver_remote_ost_write_bytes,receiver_write_bytes_io,through_put
04:46:38 PM,281018368,276824064,0,0,0,0,0,272629760,486539264,262275072,1.9599609375
04:46:39 PM,255852544,243269632,0,0,0,0,0,260046848,469762048,253231104,1.84632885456085
04:46:40 PM,251658240,268435456,0,0,0,0,0,247463936,469762048,245714944,1.63954055309296
04:46:41 PM,234881024,218103808,0,0,0,0,0,234881024,411041792,228835328,1.8115234375
04:46:42 PM,234881024,239075328,0,0,0,0,0,255852544,461373440,231079936,1.6416015625
04:46:43 PM,218103808,218103808,0,0,0,0,0,213909504,394264576,217448448,1.6513671875
04:46:44 PM,239075328,230686720,0,0,0,0,0,230686720,419430400,229769216,1.8994140625
04:46:45 PM,247463936,251658240,0,0,0,0,0,247463936,436207616,257294336,1.68405246734619
04:46:46 PM,251658240,230686720,0,0,0,0,0,234881024,436207616,229306368,1.796875
04:46:47 PM,234881024,243269632,0,0,0,0,0,247463936,427819008,236060672,1.65625
04:46:48 PM,234881024,230686720,0,0,0,0,0,226492416,427819008,227774464,1.669921875
04:46:49 PM,218103808,218103808,0,0,0,0,0,239075328,427819008,220098560,1.8916015625
04:46:50 PM,260046848,251658240,0,0,0,0,0,234881024,427819008,253882368,1.78125
04:46:51 PM,243269632,251658240,0,0,0,0,0,247463936,436207616,243269632,1.6875
04:46:52 PM,234881024,218103808,0,0,0,0,0,234881024,427819008,222248960,1.65625
04:46:53 PM,218103808,234881024,0,0,0,0,0,243269632,419430400,222298112,1.65622282028198
04:46:54 PM,234881024,218103808,0,0,0,0,0,209715200,419430400,226492416,1.7001953125
04:46:55 PM,222298112,234881024,0,0,0,0,0,239075328,419430400,226828288,1.69240999221802
04:46:56 PM,230686720,230686720,0,0,0,0,0,226492416,427819008,217808896,1.69921875
04:46:57 PM,0,222298112,0,0,0,0,0,234881024,444596224,246972416,1.7890625
04:46:58 PM,234881024,251658240,0,0,0,0,0,247463936,411041792,229638144,1.5703125
04:46:59 PM,239075328,213909504,0,0,0,0,0,213909504,427819008,207486976,1.650390625
04:47:00 PM,230686720,222298112,0,0,0,0,0,230686720,427819008,232259584,1.859375
04:47:01 PM,243269632,234881024,0,0,0,0,0,243269632,440401920,238157824,1.72265625
04:47:02 PM,226492416,239075328,0,0,0,0,0,234881024,419430400,234881024,1.69140625
04:47:03 PM,234881024,234881024,0,0,0,0,0,234881024,427819008,226623488,1.7041015625
04:47:04 PM,234881024,213909504,0,0,0,0,0,222298112,411041792,230555648,1.697265625
04:47:05 PM,247463936,247463936,0,0,0,0,0,247463936,427819008,234225664,1.78125
04:47:06 PM,226492416,239075328,0,0,0,0,0,230686720,436207616,226095104,1.71875
04:47:07 PM,230686720,218103808,0,0,0,0,0,226492416,427819008,223744000,1.625
04:47:08 PM,234881024,234881024,0,0,0,0,0,234881024,0,233410560,1.7158203125
04:47:09 PM,234881024,230686720,0,0,0,0,0,230686720,427819008,230686720,1.5341796875
04:47:10 PM,218103808,205520896,0,0,0,0,0,0,411041792,209715200,1.76953125
04:47:11 PM,234881024,234881024,0,0,0,0,0,213909504,427819008,233992192,1.6416015625
04:47:12 PM,226492416,234881024,0,0,0,0,0,234881024,436207616,216793088,1.8037109375
04:47:13 PM,226492416,234881024,0,0,0,0,0,230686720,419430400,241274880,1.5341796875
04:47:14 PM,234881024,201326592,0,0,0,0,0,230686720,419430400,208433152,1.7158203125
04:47:15 PM,218103808,234881024,0,0,0,0,0,226492416,411041792,231972864,1.736328125
04:47:16 PM,234881024,243269632,0,0,0,0,0,234881024,419430400,236875776,1.607421875
04:47:17 PM,234881024,209715200,0,0,0,0,0,226492416,427819008,208928768,1.6201171875
04:47:18 PM,213909504,226492416,0,0,0,0,0,226492416,427819008,224923648,1.6298828125
04:47:19 PM,222298112,209715200,0,0,0,0,0,213909504,419430400,210079744,1.6572265625
04:47:20 PM,230686720,222298112,0,0,0,0,0,226492416,419430400,220622848,1.716796875
04:47:21 PM,222298112,251658240,0,0,0,0,0,222298112,423624704,241827840,1.84375
04:47:22 PM,251658240,230686720,0,0,0,0,0,243269632,436207616,242216960,1.82421875
04:47:23 PM,251658240,251658240,0,0,0,0,0,239075328,427819008,241176576,1.6455078125
04:47:24 PM,251658240,226492416,0,0,0,0,0,251658240,419430400,225181696,1.8359375
