ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
19/11,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_parse.py:174(getwidth)
6,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_parse.py:224(__init__)
158,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_parse.py:233(__next)
29,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_parse.py:249(match)
74,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_parse.py:254(get)
5,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_parse.py:267(getuntil)
19,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_parse.py:286(tell)
14,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_parse.py:355(_escape)
11/6,0.000,0.000,0.001,0.000,/usr/local/lib/python3.8/sre_parse.py:435(_parse_sub)
11/6,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_parse.py:493(_parse)
6,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_parse.py:921(fix_flags)
6,0.000,0.000,0.001,0.000,/usr/local/lib/python3.8/sre_parse.py:937(parse)
9167,0.004,0.000,0.017,0.000,/usr/local/lib/python3.8/re.py:198(search)
9167,0.005,0.000,0.008,0.000,/usr/local/lib/python3.8/re.py:289(_compile)
16,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/enum.py:313(__call__)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/warnings.py:165(simplefilter)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/warnings.py:181(_add_filter)
2,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/types.py:171(__get__)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/warnings.py:437(__init__)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/warnings.py:458(__enter__)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/warnings.py:477(__exit__)
110,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/contextlib.py:381(_exit_wrapper)
110,0.001,0.000,0.001,0.000,/usr/local/lib/python3.8/contextlib.py:379(_create_cb_wrapper)
110,0.001,0.000,0.001,0.000,/usr/local/lib/python3.8/contextlib.py:385(__init__)
110,0.003,0.000,0.004,0.000,/usr/local/lib/python3.8/contextlib.py:429(callback)
110,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/contextlib.py:463(_push_exit_callback)
110,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/contextlib.py:479(__enter__)
110,0.001,0.000,0.002,0.000,/usr/local/lib/python3.8/contextlib.py:482(__exit__)
2,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/os.py:748(encode)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/os.py:752(decode)
114,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/os.py:800(fsencode)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/os.py:1073(__subclasshook__)
114,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/posixpath.py:41(_get_sep)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/_collections_abc.py:72(_check_methods)
4,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/posixpath.py:71(join)
110,0.001,0.000,0.001,0.000,/usr/local/lib/python3.8/posixpath.py:150(dirname)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/_collections_abc.py:657(get)
110,0.001,0.000,0.001,0.000,/usr/local/lib/python3.8/_bootlocale.py:33(getpreferredencoding)
110,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/codecs.py:260(__init__)
110,0.000,0.000,0.001,0.000,/usr/local/lib/python3.8/codecs.py:309(__init__)
110,0.001,0.000,0.002,0.000,/usr/local/lib/python3.8/codecs.py:319(decode)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/abc.py:96(__instancecheck__)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/abc.py:100(__subclasscheck__)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/os.py:613(get_exec_path)
2,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/os.py:670(__getitem__)


