"@timestamp per second","receiver_read_bytes","receiver_write_bytes","receiver_remote_ost_read_bytes","receiver_remote_ost_write_bytes","receiver_dtn_read_bytes","receiver_dtn_write_bytes","Differences of Last value of write_bytes_io"
"15:32:03",0,"88,080,384",0,"83,886,080",0,"85,196,800",
"15:32:04",0,"79,691,776",0,"79,688,128",0,"83,230,720","78,913,536"
"15:32:05",0,"79,681,528",0,"79,685,176",0,"79,953,920","80,621,568"
"15:32:06",0,"88,074,536",0,"88,074,536",0,"86,376,448","86,781,952"
"15:32:07",0,"88,073,088",0,"88,073,088",0,"88,473,600","85,737,472"
"15:32:08",0,"88,072,336",0,"88,072,336",0,"87,818,240","88,612,864"
"15:32:09",0,"92,268,840",0,"83,880,232",0,"90,963,968","84,418,560"
"15:32:10",0,"83,882,432",0,"83,882,432",0,"83,230,720","82,190,336"
"15:32:11",0,"83,882,432",0,"83,882,432",0,"84,934,656","83,107,840"
"15:32:12",0,"79,688,128",0,"79,685,928",0,0,"79,646,720"
"15:32:13",0,"83,881,680",0,"83,883,880",0,"81,657,856","82,235,392"
"15:32:14",0,"83,886,080",0,"83,886,080",0,"82,575,360","82,579,456"
"15:32:15",0,"83,882,432",0,"79,688,128",0,"85,327,872","81,526,784"
"15:32:16",0,"83,886,080",0,"83,886,080",0,"81,917,800","81,788,928"
"15:32:17",0,"83,883,880",0,"83,883,880",0,"83,495,064","82,710,528"
"15:32:18",0,"83,878,784",0,"79,684,480",0,"84,017,152","80,486,400"
"15:32:19",0,"79,691,776",0,"83,886,080",0,"82,837,504","81,010,688"
"15:32:20",0,"83,872,936",0,"79,678,632",0,"83,623,936","82,587,648"
"15:32:21",0,"83,882,432",0,"83,882,432",0,"82,182,144","80,228,352"
"15:32:22",0,"83,886,080",0,"79,691,776",0,"83,099,648","80,609,280"
"15:32:23",0,"79,691,776",0,"79,691,776",0,"82,904,112","81,657,856"
"15:32:24",0,"83,886,080",0,"83,886,080",0,"82,377,680","82,972,672"
"15:32:25",0,"88,076,736",0,"88,076,736",0,"84,345,904","84,672,512"
"15:32:26",0,"83,883,880",0,"83,883,880",0,"86,440,912","83,238,912"
"15:32:27",0,"88,080,384",0,"83,886,080",0,"85,065,728","84,017,152"
"15:32:28",0,"83,883,880",0,"83,883,880",0,"86,114,304","83,628,032"
"15:32:29",0,"83,882,432",0,"79,688,128",0,"84,479,872","80,482,304"
"15:32:30",0,"83,886,080",0,"88,080,384",0,"82,374,784","85,196,800"
"15:32:31",0,"88,076,736",0,"83,882,432",0,"87,157,784","83,496,960"
"15:32:32",0,0,0,"80,341,288",0,"85,070,824","84,418,560"
"15:32:33",0,"80,341,288",0,"79,691,776",0,"85,983,232","80,871,424"
"15:32:34",0,"83,886,080",0,"83,886,080",0,"82,706,432","82,575,360"
"15:32:35",0,"83,886,080",0,"83,886,080",0,"84,017,152","83,300,352"
"15:32:36",0,"83,883,880",0,"83,883,880",0,"84,017,152","82,124,800"
"15:32:37",0,"83,882,432",0,"83,878,784",0,"85,065,728","82,579,456"
"15:32:38",0,"83,882,432",0,"79,689,576",0,"84,017,152","81,162,240"
"15:32:39",0,"83,880,232",0,"79,682,280",0,"81,986,608","78,499,840"
"15:32:40",0,"79,685,176",0,"83,885,328",0,"80,280,528","84,283,392"
"15:32:41",0,"88,080,384",0,"83,882,432",0,"86,638,592","81,272,832"
"15:32:42",0,"79,688,128",0,"79,691,776",0,"82,597,080","81,920,000"
"15:32:43",0,"83,883,880",0,"83,883,880",0,"82,597,080","81,399,808"
"15:32:44",0,"83,886,080",0,"83,882,432",0,"83,602,216","83,496,960"
"15:32:45",0,"83,882,432",0,"79,691,776",0,"82,706,432","81,920,000"
"15:32:46",0,"83,886,080",0,"83,886,080",0,"85,590,016","81,920,000"
"15:32:47",0,"83,886,080",0,"83,886,080",0,"83,623,936","84,541,440"
"15:32:48",0,"88,076,736",0,"88,074,536",0,"83,623,936","84,553,728"
"15:32:49",0,"83,883,880",0,"83,886,080",0,"85,852,160","83,361,792"
"15:32:50",0,"88,080,384",0,"79,691,776",0,"86,795,728","81,395,712"
"15:32:51",0,"79,688,128",0,"83,878,032",0,"84,844,128","82,464,768"
"15:32:52",0,"83,878,032",0,"79,684,480",0,"82,770,896","78,782,464"
"15:32:53",0,"75,489,424",0,"75,489,424",0,"81,976,472","75,902,976"
"15:32:54",0,"83,878,784",0,0,0,"77,407,080","81,268,736"
"15:32:55",0,"83,882,432",0,"83,882,432",0,"81,133,568","82,845,696"
"15:32:56",0,"83,882,432",0,"79,684,480",0,"84,803,584","84,414,464"
"15:32:57",0,"83,886,080",0,"88,080,384",0,"84,017,152","81,133,568"
"15:32:58",0,"83,880,232",0,"79,691,776",0,"85,394,480","79,568,896"
"15:32:59",0,"79,691,776",0,"79,685,928",0,"81,853,392","80,089,088"
"15:33:00",0,"83,876,584",0,"79,688,128",0,"82,182,144","81,010,688"
"15:33:01",0,"83,880,232",0,"83,880,232",0,"80,471,664","81,014,784"
"15:33:02",0,"87,555,544",0,"79,683,728",0,"84,221,376","81,661,952"
"15:33:03",0,"79,688,128",0,"87,557,744",0,"84,081,616","82,186,240"
"15:33:04",0,"83,886,080",0,"83,882,432",0,"82,706,432","81,920,000"
"15:33:05",0,"83,883,880",0,"79,691,776",0,"83,492,864","81,403,904"
"15:33:06",0,"83,883,880",0,"83,881,680",0,"83,099,648","80,351,232"
"15:33:07",0,"83,881,680",0,"79,689,576",0,"83,755,008","82,632,704"
"15:33:08",0,"88,076,736",0,"83,880,232",0,"83,099,648","91,238,400"
"15:33:09",0,"92,268,840",0,"92,274,688",0,"89,915,392","88,551,424"
"15:33:10",0,"92,271,040",0,"88,074,536",0,"90,046,464","89,260,032"
"15:33:11",0,"88,079,632",0,"88,075,984",0,"92,930,048","87,302,144"
"15:33:12",0,"88,078,184",0,"88,080,384",0,"87,949,312","88,084,480"
"15:33:13",0,"92,274,688",0,"92,272,488",0,"90,044,264","89,423,872"
"15:33:14",0,"92,271,040",0,"88,076,736",0,"92,009,648","90,017,792"
"15:33:15",0,"96,468,992",0,"92,274,688",0,"90,969,064","92,930,048"
"15:33:16",0,"92,272,488",0,"92,274,688",0,"94,633,984","90,841,088"
"15:33:17",0,"88,076,736",0,"92,272,488",0,"92,667,904","85,069,824"
"15:33:18",0,"83,886,080",0,"83,882,432",0,"87,949,312","83,890,176"
"15:33:19",0,"83,882,432",0,"83,882,432",0,"85,590,016","83,496,960"
"15:33:20",0,"83,883,880",0,"83,886,080",0,"85,325,672","80,617,472"
"15:33:21",0,"83,878,032",0,"83,881,680",0,"82,051,072","82,067,456"
"15:33:22",0,0,0,"79,685,928",0,"83,888,280","81,530,880"
"15:33:23",0,"83,882,432",0,"83,882,432",0,"82,837,504","85,065,728"
"15:33:24",0,"83,886,080",0,"83,886,080",0,"86,769,664","88,608,768"
"15:33:25",0,"92,267,392",0,"92,267,392",0,"90,308,608","90,058,752"
"15:33:26",0,"92,270,288",0,"92,270,288",0,"92,536,832","92,672,000"
"15:33:27",0,"92,274,688",0,"92,274,688",0,"94,109,696","91,881,472"
"15:33:28",0,"96,468,992",0,"92,274,688",0,"93,585,408","90,836,992"
"15:33:29",0,"92,271,040",0,"92,271,040",0,"93,192,192","85,983,232"
"15:33:30",0,"88,080,384",0,"83,886,080",0,"86,638,592","83,623,936"
"15:33:31",0,"83,886,080",0,"83,886,080",0,"85,508,176","84,152,320"
"15:33:32",0,"88,076,736",0,"84,914,624",0,"85,802,928","85,200,896"
"15:33:33",0,"80,720,320",0,"83,882,432",0,"87,031,808","87,564,288"
"15:33:34",0,"92,266,640",0,"88,072,336",0,"90,570,752","91,062,272"
"15:33:35",0,"92,269,536",0,"92,269,536",0,"93,716,480","94,158,848"
"15:33:36",0,"96,465,344",0,"92,271,040",0,"93,978,624","88,084,480"
"15:33:37",0,"88,080,384",0,"92,274,688",0,"90,701,824","88,211,456"
"15:33:38",0,"92,268,840",0,"88,074,536",0,"88,735,744","84,942,848"
"15:33:39",0,"83,880,232",0,"83,880,232",0,"85,065,728","82,845,696"
"15:33:40",0,"83,886,080",0,"83,886,080",0,"85,263,408","83,230,720"
"15:33:41",0,"83,882,432",0,"79,688,128",0,"84,736,976","82,583,552"
"15:33:42",0,"83,880,232",0,"83,882,432",0,"82,706,432","80,748,544"
"15:33:43",0,"83,880,232",0,"79,683,728",0,"82,968,576","82,579,456"
"15:33:44",0,"83,886,080",0,"88,080,384",0,"85,852,160","85,721,088"
"15:33:45",0,"88,080,384",0,"83,886,080",0,"86,507,520","84,414,464"
"15:33:46",0,"88,074,536",0,"88,074,536",0,"88,342,528","86,122,496"
"15:33:47",0,"88,076,736",0,"88,076,736",0,"90,439,680","91,488,256"
"15:33:48",0,"96,468,992",0,"92,274,688",0,"93,978,624","92,803,072"
"15:33:49",0,"92,274,688",0,"92,274,688",0,"93,978,624","89,923,584"
"15:33:50",0,"88,073,088",0,"88,073,088",0,"88,997,888","89,001,984"
"15:33:51",0,"96,465,344",0,"92,271,040",0,"94,652,808","92,676,096"
"15:33:52",0,"92,268,840",0,"92,272,488",0,"90,959,624","88,616,960"
"15:33:53",0,"83,886,080",0,"83,882,432",0,"86,559,648","81,657,856"
"15:33:54",0,"83,881,680",0,"83,886,080",0,"82,639,824","80,490,496"
"15:33:55",0,"83,879,480",0,"79,682,976",0,"82,575,360","82,059,264"
"15:33:56",0,"83,883,880",0,"83,881,680",0,"83,623,936","83,636,224"
"15:33:57",0,"83,882,432",0,"83,882,432",0,"84,017,152","81,530,880"
"15:33:58",0,"83,883,880",0,"83,883,880",0,"84,803,584","82,448,384"
"15:33:59",0,"83,886,080",0,"79,691,776",0,"84,017,152","81,264,640"
"15:34:00",0,"83,883,880",0,"83,883,880",0,"84,017,152","82,718,720"
"15:34:01",0,"83,878,784",0,"83,878,784",0,"85,065,728","82,055,168"
"15:34:02",0,"84,164,752",0,"84,164,752",0,"83,428,400","82,849,792"
"15:34:03",0,"83,883,880",0,"79,689,576",0,"83,424,056","80,740,352"
"15:34:04",0,"83,882,432",0,"83,886,080",0,"83,232,920","82,710,528"
"15:34:05",0,"83,886,080",0,"83,882,432",0,"83,755,008","83,566,592"
"15:34:06",0,"88,077,432",0,"83,883,880",0,"84,670,312","88,223,744"
"15:34:07",0,"88,080,384",0,"88,079,632",0,"89,911,048","83,419,136"
"15:34:08",0,"83,883,880",0,"83,883,880",0,"85,334,416","83,496,960"
"15:34:09",0,"83,878,784",0,"83,878,784",0,"85,327,872","82,714,624"
"15:34:10",0,"83,880,232",0,"83,886,080",0,"84,017,152","82,587,648"
"15:34:11",0,"88,072,336",0,"83,874,384",0,"84,537,792","86,384,640"
"15:34:12",0,"92,274,688",0,"88,078,184",0,"88,215,104","89,391,104"
"15:34:13",0,0,0,"88,078,184",0,"91,144,272","89,526,272"
"15:34:14",0,"92,272,488",0,"92,274,688",0,"91,505,632","85,983,232"
"15:34:15",0,"88,080,384",0,"83,886,080",0,"87,358,416","82,051,072"
"15:34:16",0,"83,886,080",0,"79,691,776",0,"83,492,864","83,099,648"
"15:34:17",0,"83,886,080",0,"83,886,080",0,"85,065,728","83,365,888"
"15:34:18",0,"83,883,880",0,"88,078,184",0,"85,676,896","84,684,800"
"15:34:19",0,"88,074,536",0,"83,876,584",0,"85,634,208","87,715,840"
"15:34:20",0,"88,074,536",0,"88,074,536",0,"89,522,176","82,558,976"
