time_stamp,sender_read_bytes,sender_write_bytes,sender_remote_ost_read_bytes,sender_remote_ost_write_bytes,sender_dtn_read_bytes,sender_dtn_write_bytes,sender_retrans,receiver_read_bytes,receiver_write_bytes,receiver_remote_ost_read_bytes,receiver_remote_ost_write_bytes,receiver_dtn_read_bytes,receiver_dtn_write_bytes,Differences of Last value of write_bytes_io,through_put
03:32:48 PM,85983232,0,85852160,0,602800128,0,91,0,88076736,0,88074536,0,83623936,84553728,0.6323162317276
03:32:49 PM,85327872,0,83623936,0,592707584,0,20,0,83883880,0,83886080,0,85852160,83361792,0.6142578125
03:32:50 PM,83492864,0,82575360,0,598605824,0,22,0,88080384,0,79691776,0,86795728,81395712,0.602155864238739
03:32:51 PM,83361792,0,79822848,0,594018304,0,40,0,79688128,0,83878032,0,84844128,82464768,0.6103515625
03:32:52 PM,80871424,0,76283904,0,594673664,0,36,0,83878032,0,79684480,0,82770896,78782464,0.584939360618591
03:32:53 PM,77463552,0,80084992,0,595197952,0,37,0,75489424,0,75489424,0,81976472,75902976,0.5654296875
03:32:54 PM,83361792,0,83886080,0,593362944,0,21,0,83878784,0,0,0,77407080,81268736,0.6162109375
03:32:55 PM,83886080,0,82706432,0,594542592,0,49,0,83882432,0,83882432,0,81133568,82845696,0.609957575798035
03:32:56 PM,86245376,0,84148224,0,597032960,0,13,0,83882432,0,79684480,0,84803584,84414464,0.6279296875
03:32:57 PM,82444288,0,80740352,0,601096192,0,28,0,83886080,0,88080384,0,84017152,81133568,0.601584076881409
03:32:58 PM,82051072,0,81002496,0,593100800,0,22,0,83880232,0,79691776,0,85394480,79568896,0.5991290807724
03:32:59 PM,81002496,0,79429632,0,599523328,0,39,0,79691776,0,79685928,0,81853392,80089088,0.591796875
03:33:00 PM,82837504,0,83623936,0,592707584,0,29,0,83876584,0,79688128,0,82182144,81010688,0.6044921875
03:33:01 PM,82575360,0,82182144,0,596115456,0,38,0,83880232,0,83880232,0,80471664,81014784,0.603515625
03:33:02 PM,83230720,0,81657856,0,590479360,0,33,0,87555544,0,79683728,0,84221376,81661952,0.606359004974365
03:33:03 PM,83492864,0,82444288,0,603586560,0,31,0,79688128,0,87557744,0,84081616,82186240,0.61328125
