time_stamp,sender_read_bytes,sender_write_bytes,sender_remote_ost_read_bytes,sender_remote_ost_write_bytes,sender_dtn_read_bytes,sender_dtn_write_bytes,sender_retrans,sender_avg_send_value,receiver_read_bytes,receiver_write_bytes,receiver_remote_ost_read_bytes,receiver_remote_ost_write_bytes,receiver_dtn_read_bytes,receiver_dtn_write_bytes,Differences of Last value of write_bytes_io,through_put
11:37:05 AM,494927872,0,490733568,0,484573184,0,0,29234.199,0,482344960,0,478150656,0,487325696,476708864,3.5615234375
11:37:06 AM,486539264,0,482344960,0,486539264,0,0,38151.199,0,482344960,0,478150656,0,486539264,470683648,3.5
11:37:07 AM,482344960,0,473956352,0,487587840,0,0,32719,0,457179136,0,452984832,0,479199232,435290112,3.25
11:37:08 AM,448790528,0,444596224,0,481296384,0,0,28892.301,0,427819008,0,427819008,0,456523776,420478976,3.125
11:37:09 AM,432013312,0,427819008,0,447479808,0,0,17007.1,0,427819008,0,419430400,0,429129728,419930112,3.125
11:37:10 AM,427819008,0,419430400,0,426377216,0,0,29584.301,0,432013312,0,427819008,0,426770432,429678592,3.185546875
11:37:11 AM,432013312,0,427819008,0,432013312,0,0,27834.199,0,427819008,0,427819008,0,431357952,419561472,3.125
11:37:12 AM,423624704,0,423624704,0,431620096,0,0,25079.1,0,423624704,0,419430400,0,428081152,415678464,3.1015625
11:37:13 AM,427819008,0,423624704,0,428081152,0,0,37858.801,0,419430400,0,415236096,0,425984000,410730496,3.0546875
11:37:14 AM,415236096,0,411041792,0,423755776,0,0,14320.5,0,432013312,0,427819008,0,419299328,425852928,3.18359375
11:37:15 AM,436207616,0,427819008,0,418775040,0,0,27678.301,0,427819008,0,419430400,0,430178304,418381824,3.111328125
11:37:16 AM,423624704,0,419430400,0,432275456,0,0,30217.6,0,427819008,0,427819008,0,428736512,422731776,3.138671875
11:37:17 AM,432013312,0,423624704,0,426639360,0,0,29584.301,0,427819008,0,419430400,0,430440448,415260672,3.09765625
11:37:18 AM,419430400,0,423624704,0,429391872,0,0,28071.5,0,411041792,0,411041792,0,423624704,406822912,3.025390625
11:37:19 AM,411041792,0,411041792,0,419430400,0,0,29062.199,0,406847488,0,402653184,0,415236096,397910016,2.958984375
11:37:20 AM,406847488,0,398458880,0,415236096,0,0,30497.4,0,419430400,0,411041792,0,402653184,414580736,3.0908203125
11:37:21 AM,423624704,0,411041792,0,402653184,0,0,29320.9,0,427819008,0,419430400,0,421265408,417738752,3.1083984375
11:37:22 AM,427819008,0,423624704,0,423624704,0,0,28977,0,0,0,427819008,0,425984000,418168832,3.1083984375
11:37:23 AM,423624704,0,423624704,0,427687936,0,0,29762.5,0,423624704,0,415236096,0,423624704,414007296,3.091796875
11:37:24 AM,423624704,0,415236096,0,425721856,0,0,31468.6,0,419430400,0,419430400,0,423624704,416440320,3.09375
11:37:25 AM,419430400,0,423624704,0,421658624,0,0,30591.801,0,423624704,0,411041792,0,421789696,406847488,3.03125
11:37:26 AM,415236096,0,406847488,0,419430400,0,0,30782.4,0,415236096,0,406847488,0,414449664,402657280,3
11:37:27 AM,411041792,0,406847488,0,415105024,0,0,28808,0,406847488,0,398458880,0,407764992,399876096,2.9775390625
11:37:28 AM,394264576,0,406847488,0,411172864,0,0,18064.301,0,406847488,0,415236096,0,404619264,413818880,3.0830078125
11:37:29 AM,432013312,0,411041792,0,396230656,0,0,33955.801,0,423624704,0,411041792,0,423362560,416653312,3.09765625
11:37:30 AM,427819008,0,419430400,0,433848320,0,0,32186.199,0,423624704,0,427819008,0,424280064,418013184,3.1181640625
11:37:31 AM,423624704,0,423624704,0,424017920,0,0,25665.301,0,423624704,0,419430400,0,424804352,411041792,3.0625
11:37:32 AM,419430400,0,415236096,0,425721856,0,0,28071.5,0,415236096,0,411041792,0,417595392,406872064,3.03125
11:37:33 AM,415236096,0,406847488,0,413138944,0,0,27524.1,0,415236096,0,411041792,0,415236096,419405824,3.1220703125
11:37:34 AM,427819008,0,423624704,0,419430400,0,0,15391.2,0,432013312,0,427819008,0,429916160,421109760,3.125
11:37:35 AM,427819008,0,423624704,0,432013312,0,0,31670.4,0,427819008,0,419430400,0,429654016,417751040,3.111328125
11:37:36 AM,419430400,0,419430400,0,423624704,0,0,29762.5,0,419430400,0,411041792,0,419692544,406851584,3.03515625
11:37:37 AM,411041792,0,406847488,0,419430400,0,0,16747.699,0,415236096,0,411041792,0,413925376,408920064,3.0361328125
11:37:38 AM,415236096,0,411041792,0,415236096,0,0,29496,0,411041792,0,411041792,0,405667840,414842880,3.091796875
11:37:39 AM,432013312,0,419430400,0,409993216,0,0,32827.699,0,432013312,0,427819008,0,434503680,422707200,3.142578125
11:37:40 AM,432013312,0,427819008,0,433061888,0,0,35416.301,0,427819008,0,427819008,0,428998656,417333248,3.10546875
11:37:41 AM,419430400,0,419430400,0,431751168,0,0,13245.5,0,423624704,0,411041792,0,422182912,411828224,3.0625
11:37:42 AM,419430400,0,415236096,0,420216832,0,0,25732.199,0,415236096,0,411041792,0,417595392,403570688,3.0185546875
11:37:43 AM,0,0,406847488,0,416940032,0,0,29496,0,415236096,0,411041792,0,413663232,414842880,3.0751953125
11:37:44 AM,415236096,0,419430400,0,414580736,0,0,26071.6,0,423624704,0,427819008,0,424542208,420478976,3.1435546875
11:37:45 AM,423624704,0,419430400,0,429522944,0,0,18163.9,0,427819008,0,419430400,0,426377216,419168256,3.1240234375
11:37:46 AM,427819008,0,419430400,0,424542208,0,0,17900.6,0,423624704,0,411041792,0,424542208,414449664,3.0693359375
11:37:47 AM,423624704,0,419430400,0,423493632,0,0,29147.9,0,419430400,0,411041792,0,418512896,403046400,3.0234375
11:37:48 AM,415236096,0,402653184,0,413794304,0,0,29234.199,0,406847488,0,402653184,0,408682496,409993216,3.0185546875
11:37:49 AM,406847488,0,415236096,0,412352512,0,0,29762.5,0,423624704,0,427819008,0,425197568,423886848,3.15234375
11:37:50 AM,427819008,0,423624704,0,423886848,0,0,29147.9,0,432013312,0,427819008,0,428605440,415653888,3.1123046875
11:37:51 AM,427819008,0,423624704,0,427163648,0,0,27756,0,423624704,0,419430400,0,423231488,414306304,3.0693359375
