"@timestamp per second","receiver_read_bytes","receiver_write_bytes","receiver_remote_ost_read_bytes","receiver_remote_ost_write_bytes","receiver_dtn_read_bytes","receiver_dtn_write_bytes","Differences of Last value of write_bytes_io"
"11:23:31",,,,,,,
"11:23:32",0,"268,435,456",0,"138,412,032",0,0,
"11:23:33",0,"457,179,136",0,"478,150,656",0,"285,227,136","491,970,560"
"11:23:34",0,"457,179,136",0,"457,179,136",0,"514,312,064","501,035,008"
"11:23:35",0,"461,373,440",0,"452,984,832",0,"501,692,192","489,803,776"
"11:23:36",0,"473,956,352",0,"482,344,960",0,"507,300,064","486,166,528"
"11:23:37",0,"461,373,440",0,"465,567,744",0,"488,898,560","500,826,112"
"11:23:38",0,"478,150,656",0,"457,179,136",0,"509,345,792","489,553,920"
"11:23:39",0,"486,539,264",0,"473,956,352",0,"499,970,880","487,211,008"
"11:23:40",0,"440,401,920",0,"452,984,832",0,"502,598,848","502,124,544"
"11:23:41",0,"427,819,008",0,"419,430,400",0,"506,869,888","484,851,712"
"11:23:42",0,"398,458,880",0,"423,624,704",0,"489,539,456","493,498,368"
"11:23:43",0,"423,624,704",0,"394,264,576",0,"503,315,712","489,021,440"
"11:23:44",0,"427,819,008",0,"419,430,400",0,"498,467,584","491,376,640"
"11:23:45",0,"415,236,096",0,"406,847,488",0,"497,468,928","495,804,416"
"11:23:46",0,"398,458,880",0,"398,458,880",0,"511,261,184","496,328,704"
"11:23:47",0,"406,847,488",0,"423,624,704",0,"499,515,392","481,517,568"
"11:23:48",0,"432,013,312",0,"402,653,184",0,"492,578,720","505,905,152"
"11:23:49",0,"419,430,400",0,"419,430,400",0,"517,593,184","475,824,128"
"11:23:50",0,"411,041,792",0,"402,653,184",0,"487,076,576","496,898,048"
"11:23:51",0,"402,653,184",0,"423,624,704",0,"505,793,824","491,257,856"
"11:23:52",0,"411,041,792",0,"406,847,488",0,"497,418,240","488,407,040"
"11:23:53",0,"427,819,008",0,"394,264,576",0,"495,190,016","501,448,704"
"11:23:54",0,"427,819,008",0,"419,430,400",0,"513,409,024","486,539,264"
"11:23:55",0,"373,293,056",0,"427,819,008",0,"499,920,192","489,041,920"
"11:23:56",0,0,0,"381,681,664",0,"496,237,152","495,476,736"
"11:23:57",0,"478,150,656",0,"482,344,960",0,"501,864,544","488,112,128"
"11:23:58",0,"478,150,656",0,"469,762,048",0,"498,597,888","487,972,864"
"11:23:59",0,"469,762,048",0,"457,179,136",0,"500,545,856","497,733,632"
"11:24:00",0,"478,150,656",0,"465,567,744",0,"503,858,880","482,263,040"
"11:24:01",0,"469,762,048",0,"473,956,352",0,"491,913,216","491,651,072"
"11:24:02",0,"469,762,048",0,"465,567,744",0,"507,218,944","483,786,752"
"11:24:03",0,"457,179,136",0,"452,984,832",0,"481,079,872","483,274,752"
"11:24:04",0,"465,567,744",0,"469,762,048",0,"498,975,168","487,575,552"
"11:24:05",0,"490,733,568",0,"478,150,656",0,"494,010,368","482,738,176"
"11:24:06",0,"490,733,568",0,"473,956,352",0,"498,703,584","495,693,824"
"11:24:07",0,"482,344,960",0,"482,344,960",0,"498,471,168","474,349,568"
"11:24:08",0,"482,344,960",0,"478,150,656",0,"484,573,184","471,056,384"
"11:24:09",0,"482,344,960",0,"452,984,832",0,"482,738,176","458,637,312"
"11:24:10",0,"465,567,744",0,"478,150,656",0,"464,912,384","470,552,576"
"11:24:11",0,"478,150,656",0,"478,150,656",0,"475,660,288","436,731,904"
"11:24:12",0,"457,179,136",0,"448,790,528",0,"457,441,280","477,773,824"
"11:24:13",0,"478,150,656",0,"469,762,048",0,"476,839,936","474,468,352"
"11:24:14",0,"482,344,960",0,"478,150,656",0,"483,000,320","477,237,248"
"11:24:15",0,"482,344,960",0,"478,150,656",0,"481,689,600","471,605,248"
"11:24:16",0,"482,344,960",0,"478,150,656",0,"483,131,392","472,530,944"
"11:24:17",0,"482,344,960",0,"478,150,656",0,"484,179,968","473,956,352"
"11:24:18",0,"478,150,656",0,"469,762,048",0,"475,529,216","469,745,664"
"11:24:19",0,"457,179,136",0,"436,207,616",0,"461,373,440","405,274,624"
"11:24:20",0,"406,847,488",0,"402,653,184",0,"402,653,184","418,906,112"
"11:24:21",0,"432,013,312",0,"436,207,616",0,"433,586,176","414,187,520"
"11:24:22",0,"427,819,008",0,"419,430,400",0,"427,556,864","421,396,480"
"11:24:23",0,"427,819,008",0,"419,430,400",0,"429,654,016","416,432,128"
"11:24:24",0,"415,236,096",0,"419,430,400",0,"414,973,952","412,598,272"
"11:24:25",0,"419,430,400",0,"411,041,792",0,"416,940,032","407,502,848"
"11:24:26",0,"423,624,704",0,"411,041,792",0,"425,459,712","408,944,640"
"11:24:27",0,"419,430,400",0,"423,624,704",0,"420,347,904","418,119,680"
"11:24:28",0,"423,624,704",0,"411,041,792",0,"420,610,048","418,119,680"
"11:24:29",0,"427,819,008",0,"427,819,008",0,"428,736,512","419,299,328"
"11:24:30",0,"427,819,008",0,"419,430,400",0,"427,425,792","422,068,224"
"11:24:31",0,"432,013,312",0,"427,819,008",0,"431,357,952","411,942,912"
"11:24:32",0,"432,013,312",0,"427,819,008",0,"432,275,456","433,192,960"
"11:24:33",0,"427,819,008",0,"419,430,400",0,"427,425,792","420,478,976"
