time_stamp,sender_read_bytes,sender_write_bytes,sender_remote_ost_read_bytes,sender_remote_ost_write_bytes,sender_dtn_read_bytes,sender_dtn_write_bytes,sender_retrans,sender_avg_send_value,receiver_read_bytes,receiver_write_bytes,receiver_remote_ost_read_bytes,receiver_remote_ost_write_bytes,receiver_dtn_read_bytes,receiver_dtn_write_bytes,Differences of Last value of write_bytes_io,through_put
12:03:37 PM,,,,,,,,,,,,,,,,
12:03:38 PM,167772160,0,251658240,0,182714368,0,587,89.8,0,260044704,0,222295968,0,266986000,,1.80136120319366
12:03:39 PM,176160768,0,150994944,0,138805248,0,616,5581.7,0,83882496,0,142602320,0,80798944,142688256,0.583421349525452
12:03:40 PM,142606336,0,150994944,0,187695104,0,458,2361.8,0,234880192,0,150994528,0,237329600,179863552,1.91631454229355
12:03:41 PM,0,0,167772160,0,136708096,0,638,8108.8,0,104854016,0,167768576,0,237329600,140570624,0.703938543796539
12:03:42 PM,184549376,0,117440512,0,175767552,0,388,2470.1,0,201326592,0,121634816,0,110311912,134119424,1.1020650267601
12:03:43 PM,100663296,0,109051904,0,107741184,0,408,2426,0,100663296,0,104857600,0,189891200,134242304,1.10967916250229
12:03:44 PM,134217728,0,96468992,0,133955584,0,702,1306.9,0,109051904,0,100663296,0,105658144,109375488,0.782462418079376
12:03:45 PM,184549376,0,348127232,0,183762944,0,649,3121.1,0,289403392,0,356512256,0,101718896,326803456,1.5270015001297
12:03:46 PM,285212672,0,209715200,0,285736960,0,699,3525.6,0,264241152,0,201326592,0,320901056,231952384,1.97876387834549
12:03:47 PM,251658240,0,176160768,0,244842496,0,423,4384.3,0,167771472,0,184548688,0,237572544,137801728,1.79700136184692
12:03:48 PM,188743680,0,234881024,0,203554816,0,857,4786.8,0,209715200,0,226492416,0,170913504,220819456,1.52916115522385
12:03:49 PM,205520896,0,150994944,0,206700544,0,414,5265.5,0,163577856,0,142606336,0,209190688,143384576,1.49125057458878
12:03:50 PM,109051904,0,201326592,0,86900736,0,711,4767.3,0,230686720,0,213909504,0,155275552,230502400,0.60042005777359
12:03:51 PM,268435456,0,247463936,0,276168704,0,490,3054.5,0,176160768,0,243269632,0,232310512,242319360,2.06122827529907
12:03:52 PM,167772160,0,75497472,0,161087488,0,307,3861.3,0,104857600,0,71303168,0,194309616,98185216,1.19679141044617
12:03:53 PM,117440512,0,180355072,0,131596288,0,841,2896,0,205520896,0,188743680,0,93589824,170737664,0.858930885791779
12:03:54 PM,176160768,0,218103808,0,189661184,0,708,538.8,0,234878880,0,218101664,0,207038912,201289728,1.35356336832047
12:03:55 PM,213909504,0,222298112,0,212992000,0,613,8260.7,0,184549376,0,209715200,0,226328448,226353152,1.49543648958206
12:03:56 PM,197132288,0,117440512,0,173801472,0,457,1796,0,134217728,0,125829120,0,192330176,105832448,1.52983564138412
12:03:57 PM,163577856,0,197132288,0,173801472,0,510,1975.6,0,213909504,0,197132288,0,135856864,192487424,1.00231903791428
12:03:58 PM,155189248,0,134217728,0,163184640,0,778,3830.9,0,125829120,0,130023424,0,205134880,141402112,1.17894929647446
12:03:59 PM,134217728,0,134217728,0,163840000,0,387,3589.4,0,125829120,0,130023424,0,129982272,129826816,1.1951984167099
12:04:00 PM,117440512,0,138412032,0,123338752,0,442,8458.2,0,138412032,0,138412032,0,132283200,143994880,0.829543173313141
12:04:01 PM,247463936,0,247463936,0,130809856,0,668,1997.2,0,272627744,0,264239136,0,150301344,246059008,1.31819826364517
12:04:02 PM,264241152,0,251658240,0,265289728,0,928,1428.2,0,0,0,243269632,0,248710928,248406016,1.97050893306732
12:04:03 PM,134217728,0,125829120,0,263847936,0,555,5652.1,0,247463936,0,121632680,0,254603424,120651776,1.6074743270874
12:04:04 PM,218103808,0,226492416,0,120455168,0,412,6441.3,0,130021288,0,230686720,0,131803384,226897920,1.41799408197403
12:04:05 PM,125829120,0,50331648,0,228851712,0,361,1853.4,0,218103808,0,54525952,0,209545312,57085952,0.98467481136322
12:04:06 PM,121634816,0,184549376,0,106954752,0,616,3175.3,0,54525952,0,176154560,0,57087072,171999232,0.744091868400574
12:04:07 PM,138412032,0,83886080,0,134348800,0,341,4940.2,0,201320384,0,0,0,200702688,84643840,1.09978759288788
12:04:08 PM,159383552,0,150994944,0,126091264,0,553,2018.4,0,63960856,0,80738072,0,73018256,159191040,1.20157140493393
12:04:09 PM,117440512,0,234881024,0,151519232,0,761,2209.9,0,163577856,0,159383552,0,163014560,232685568,0.783104121685028
12:04:10 PM,268435456,0,205520896,0,134610944,0,758,2796.1,0,218103808,0,230686720,0,213997152,196849664,1.73938941955566
12:04:11 PM,201326592,0,159383552,0,257425408,0,439,1003.3,0,255852544,0,197132288,0,261286816,149979136,1.79586637020111
12:04:12 PM,184549376,0,222298112,0,197263360,0,558,2588.6,0,113246208,0,163577856,0,105965936,239980544,0.626040816307068
12:04:13 PM,100663296,0,100663296,0,193462272,0,417,4893.8,0,218103808,0,226492416,0,225264736,99713024,1.67974054813385
12:04:14 PM,268435456,0,268435456,0,107085824,0,705,3670.7,0,138412032,0,100663296,0,147842240,261787648,1.16355562210083
12:04:15 PM,117440512,0,79691776,0,272367616,0,451,5550.7,0,251658240,0,260046848,0,239819936,69099520,1.68768310546875
12:04:16 PM,134217728,0,163577856,0,104464384,0,399,8703,0,109051904,0,79691776,0,103199544,144945152,0.732722878456116
12:04:17 PM,100663296,0,58720256,0,128974848,0,316,445.5,0,138412032,0,163577856,0,138833376,87875584,1.03438919782639
12:04:18 PM,134217728,0,134217728,0,93978624,0,393,538.8,0,46137344,0,71303168,0,51189336,133398528,0.3897944688797
12:04:19 PM,150994944,0,171966464,0,138149888,0,662,879.8,0,138409312,0,125826400,0,142579936,158380032,1.02444660663605
12:04:20 PM,184549376,0,146800640,0,147587072,0,465,3344.7,0,234881024,0,176160768,0,247386144,166215680,1.71982163190842
12:04:21 PM,163577856,0,251658240,0,188612608,0,562,8108.8,0,100663296,0,155189248,0,79156760,232079360,0.678357124328613
12:04:22 PM,188743680,0,213909504,0,200409088,0,635,8766.3,0,222298112,0,234881024,0,222276512,172802048,1.71269005537033
12:04:23 PM,201326592,0,121634816,0,173801472,0,459,2555.3,0,247463936,0,226492416,0,252949472,159436800,1.64849662780762
12:04:24 PM,113246208,0,150994944,0,190185472,0,443,2798.4,0,92271864,0,113243384,0,88132072,138498048,0.819421648979187
12:04:25 PM,205520896,0,150994944,0,129105920,0,314,5657.3,0,213907424,0,155189248,0,227467264,182349824,1.31931614875793
12:04:26 PM,150994944,0,167772160,0,191627264,0,704,5180.4,0,167772160,0,142604256,0,153302768,142012416,1.23228496313095
12:04:27 PM,171966464,0,0,0,150470656,0,573,3749.4,0,125829120,0,171966464,0,123529872,168116224,1.08771514892578
12:04:28 PM,230686720,0,218103808,0,181403648,0,359,5687.5,0,226492416,0,213909504,0,243214720,227504128,1.44207686185837
