time_stamp,sender_read_bytes,sender_write_bytes,sender_remote_ost_read_bytes,sender_remote_ost_write_bytes,sender_dtn_read_bytes,sender_dtn_write_bytes,sender_retrans,receiver_read_bytes,receiver_write_bytes,receiver_remote_ost_read_bytes,receiver_remote_ost_write_bytes,receiver_dtn_read_bytes,receiver_dtn_write_bytes,Differences of Last value of write_bytes_io,through_put
12:37:11 PM,511705088,0,507510784,0,346161152,0,0,0,255852544,0,478150656,0,220069888,506462208,3.896484375
12:37:12 PM,515899392,0,511705088,0,534642688,0,0,0,260046848,0,478150656,0,524025856,501850112,3.78387200832367
12:37:13 PM,515899392,0,507510784,0,519307264,0,0,0,247463936,0,478150656,0,510787584,512905216,3.76506400108337
12:37:14 PM,511705088,0,507510784,0,519176192,0,12,0,272629760,0,490733568,0,522893984,497418240,3.78700149059296
12:37:15 PM,515899392,0,511705088,0,513409024,0,10,0,272629760,0,478150656,0,514540896,500994048,3.75908035039902
12:37:16 PM,511705088,0,507510784,0,511705088,0,0,0,276824064,0,478150656,0,512562464,516997120,3.77818006277084
12:37:17 PM,515899392,0,452984832,0,515244032,0,0,0,255852544,0,482344960,0,512986848,348323840,3.44689321517944
12:37:18 PM,264241152,0,264241152,0,461373440,0,0,0,281018368,0,478150656,0,517083392,252448768,1.97593677043915
12:37:19 PM,268435456,0,251658240,0,263061504,0,0,0,247463936,0,486539264,0,288329440,258191360,1.87827491760254
12:37:20 PM,251658240,0,251658240,0,261226496,0,0,0,272629760,0,478150656,0,246068480,254672896,1.93214249610901
12:37:21 PM,251658240,0,255852544,0,260702208,0,0,0,243269632,0,469762048,0,271124256,254693376,1.8203125
12:37:22 PM,260046848,0,264241152,0,262406144,0,0,0,268435456,0,486539264,0,245628928,247463936,1.8408203125
12:37:23 PM,260046848,0,251658240,0,256901120,0,0,0,260046848,0,486539264,0,263323648,252534784,1.89433145523071
12:37:24 PM,239075328,0,243269632,0,252444672,0,0,0,243269632,0,478150656,0,262772544,250806272,1.89961385726929
12:37:25 PM,264241152,0,260046848,0,248774656,0,0,0,264241152,0,478150656,0,243689664,251637760,1.86845535039902
12:37:26 PM,264241152,0,251658240,0,258605056,0,0,0,251658240,0,478150656,0,265722048,251658240,1.8447265625
12:37:27 PM,260046848,0,251658240,0,267780096,0,0,0,260046848,0,486539264,0,249692160,247463936,1.87605208158493
12:37:28 PM,247463936,0,268435456,0,255852544,0,0,0,260046848,0,478150656,0,259532704,265977856,1.91015625
12:37:29 PM,268435456,0,251658240,0,255852544,0,0,0,255852544,0,473956352,0,258473984,249921536,1.9033203125
12:37:30 PM,255852544,0,251658240,0,263716864,0,0,0,260046848,0,478150656,0,258080768,254050304,1.9033203125
12:37:31 PM,251658240,0,260046848,0,257163264,0,0,0,260046848,0,486539264,0,259915776,246042624,1.908203125
12:37:32 PM,251658240,0,243269632,0,255852544,0,0,0,247463936,0,478150656,0,258605056,250687488,1.84435975551605
12:37:33 PM,264241152,0,251658240,0,248905728,0,0,0,255852544,0,478150656,0,248987568,259432448,1.84320497512817
12:37:34 PM,268435456,0,268435456,0,257949696,0,0,0,276824064,0,469762048,0,255648320,260661248,1.96875
12:37:35 PM,239075328,0,234881024,0,276299776,0,0,0,247463936,0,444596224,0,277348352,241999872,1.751953125
12:37:36 PM,247463936,0,234881024,0,237502464,0,0,0,243269632,0,427819008,0,247070720,215482368,1.7666015625
12:37:37 PM,234881024,0,243269632,0,224264192,0,0,0,222298112,0,427819008,0,243269632,237940736,1.78258258104324
12:37:38 PM,281018368,0,264241152,0,243138560,0,0,0,268435456,0,443191296,0,222345888,269266944,1.8505859375
12:37:39 PM,222298112,0,230686720,0,276955136,0,0,0,239075328,0,411041792,0,267911168,218079232,1.6923828125
12:37:40 PM,222298112,0,218103808,0,220987392,0,0,0,234881024,0,419430400,0,242876416,234229760,1.72382181882858
12:37:41 PM,222298112,0,234881024,0,240386048,0,0,0,213909504,0,436207616,0,231498528,213909504,1.7666015625
12:37:42 PM,239075328,0,222298112,0,223084544,0,0,0,243269632,0,427819008,0,216006656,235532288,1.59375
12:37:43 PM,222298112,0,213909504,0,225705984,0,0,0,218103808,0,427819008,0,241172480,213909504,1.78125
12:37:44 PM,234881024,0,247463936,0,238944256,0,0,0,239075328,0,402653184,0,218890240,243220480,1.5
12:37:45 PM,234881024,0,230686720,0,230162432,0,0,0,226492416,0,427819008,0,238288896,222298112,1.84375
12:37:46 PM,251658240,0,226492416,0,241827840,0,0,0,247463936,0,427819008,0,226623488,243269632,1.71875
12:37:47 PM,218103808,0,234881024,0,241041408,0,0,0,230686720,0,419430400,0,247332864,209743872,1.78125
12:37:48 PM,222298112,0,213909504,0,212992000,0,0,0,218103808,0,419430400,0,233046016,231514112,1.53125
12:37:49 PM,222298112,0,222298112,0,233439232,0,0,0,218103808,0,411041792,0,215744512,204840960,1.51953125
12:37:50 PM,213909504,0,201326592,0,208011264,0,0,0,222298112,0,419430400,0,219152384,213749760,1.7197265625
12:37:51 PM,243269632,0,251658240,0,231473152,0,0,0,239075328,0,427819008,0,221249536,237817856,1.5986328125
12:37:52 PM,239075328,0,218103808,0,232259584,0,0,0,230686720,0,419430400,0,239075328,228065280,1.78125
12:37:53 PM,0,0,218103808,0,227672064,0,0,0,0,0,419430400,0,231473152,217841664,1.6396484375
12:37:54 PM,218103808,0,226492416,0,228458496,0,0,0,222298112,0,402653184,0,221511680,222695424,1.6865234375
12:37:55 PM,218103808,0,226492416,0,217579520,0,0,0,234881024,0,419430400,0,234881024,220594176,1.625
12:37:56 PM,226492416,0,226492416,0,238026752,0,0,0,213909504,0,419430400,0,213909504,226623488,1.732421875
12:37:57 PM,243269632,0,243269632,0,230817792,0,0,0,239075328,0,0,0,239075328,244445184,1.6875
12:37:58 PM,234881024,0,234881024,0,234881024,0,0,0,234881024,0,436207616,0,233570304,226365440,1.75
12:37:59 PM,222298112,0,192937984,0,235798528,0,0,0,226492416,0,419430400,0,227803136,197234688,1.5556640625
12:38:00 PM,205520896,0,209715200,0,198574080,0,0,0,218103808,0,415236096,0,218103808,222298112,1.537109375
12:38:01 PM,226492416,0,218103808,0,220069888,0,0,0,209715200,0,415236096,0,212729856,209350656,1.6513671875
12:38:02 PM,213909504,0,234881024,0,218890240,0,0,0,222298112,0,419430400,0,219283456,214958080,1.6279296875
12:38:03 PM,222298112,0,205520896,0,225705984,0,0,0,226492416,0,419430400,0,226754560,221642752,1.5439453125
12:38:04 PM,230686720,0,230686720,0,232652800,0,0,0,218103808,0,411041792,0,217972736,222273536,1.705078125
12:38:05 PM,213909504,0,218103808,0,211156992,0,0,0,226492416,0,419430400,0,226361344,209715200,1.6083984375
12:38:06 PM,243269632,0,226492416,0,227147776,0,0,0,230686720,0,419430400,0,232783872,240152576,1.6396484375
12:38:07 PM,213909504,0,230686720,0,234094592,0,0,0,222298112,0,419430400,0,220200960,221220864,1.6689453125
12:38:08 PM,239075328,0,230686720,0,238944256,0,0,0,243269632,0,419430400,0,247463936,230711296,1.736328125
12:38:09 PM,226492416,0,218103808,0,226492416,0,0,0,218103808,0,436207616,0,215351296,219287552,1.65625
12:38:10 PM,243269632,0,234881024,0,225705984,0,0,0,239075328,0,411041792,0,240386048,221065216,1.75
12:38:11 PM,218103808,0,209715200,0,223739904,0,0,0,218103808,0,411041792,0,215351296,222298112,1.5908203125
12:38:12 PM,218103808,0,239075328,0,235143168,0,0,0,230686720,0,419430400,0,230686720,234881024,1.689453125
12:38:13 PM,251658240,0,226492416,0,230686720,0,0,0,234881024,0,427819008,0,234618880,218128384,1.6875
12:38:14 PM,234881024,0,230686720,0,234749952,0,0,0,239075328,0,419430400,0,241041408,214462464,1.7314453125
12:38:15 PM,218103808,0,218103808,0,234487808,0,0,0,226492416,0,419430400,0,224788480,236060672,1.7353515625
12:38:16 PM,218103808,0,234881024,0,212992000,0,0,0,230686720,0,419430400,0,230162432,233123840,1.544921875
12:38:17 PM,234881024,0,218103808,0,232259584,0,0,0,213909504,0,419430400,0,214040576,225107968,1.6962890625
12:38:18 PM,230686720,0,226492416,0,232259584,0,0,0,230686720,0,423624704,0,232128512,211427328,1.6630859375
12:38:19 PM,226492416,0,222298112,0,234881024,0,0,0,230686720,0,419430400,0,229507072,230395904,1.6201171875
12:38:20 PM,230686720,0,222298112,0,228720640,0,0,0,226492416,0,411041792,0,226623488,217886720,1.67578125
12:38:21 PM,218103808,0,218103808,0,219807744,0,0,0,222298112,0,419430400,0,222298112,213499904,1.6337890625
12:38:22 PM,213909504,0,218103808,0,214695936,0,0,0,222298112,0,411041792,0,222298112,224002048,1.625
12:38:23 PM,222298112,0,218103808,0,222953472,0,0,0,222298112,0,415236096,0,225443840,217059328,1.53125
12:38:24 PM,167772160,0,134217728,0,217710592,0,0,0,180355072,0,411041792,0,177209344,151130112,1.5
12:38:25 PM,167772160,0,167772160,0,166985728,0,0,0,163577856,0,268435456,0,163577856,159223808,1.09375
12:38:26 PM,150994944,0,155189248,0,166985728,0,0,0,159383552,0,301989888,0,159383552,150994944,1.09375
12:38:27 PM,167772160,0,159383552,0,160038912,0,0,0,159383552,0,285159424,0,159383552,163577856,1.21875
12:38:28 PM,150994944,0,171966464,0,160301056,0,0,0,155189248,0,309055488,0,159383552,159383552,1.21875
12:38:29 PM,167772160,0,150994944,0,159514624,0,0,0,167772160,0,301989888,0,155189248,159383552,1.1875
12:38:30 PM,184549376,0,167772160,0,165412864,0,0,0,167772160,0,293601280,0,169213952,163577856,1.1328125
12:38:31 PM,150994944,0,163577856,0,168165376,0,0,0,163577856,0,293601280,0,166330368,159383552,1.2724609375
12:38:32 PM,167772160,0,155189248,0,160432128,0,0,0,159383552,0,285212672,0,163577856,159383552,1.1591796875
12:38:33 PM,146800640,0,150994944,0,159383552,0,0,0,159383552,0,290783232,0,159383552,145780736,1.1845703125
12:38:34 PM,163577856,0,0,0,160169984,0,0,0,159383552,0,285212672,0,159383552,160378880,1.123046875
